Unnamed: 0,[MW],Demand_kWh,valid_time,latitude_x,longitude_x,number_x,PV_Generation_kWh,latitude_y,longitude_y,number_y,Wind_Generation_kWh,Net_Balance_kWh,Battery_Charge_kWh,Battery_Discharge_kWh,Battery_Level_kWh,Hydrogen_Production_kWh,Hydrogen_Consumption_kWh,Hydrogen_Level_kWh
,0.8971297593756207,897.1297593756206,2023-06-28 22:00:00,51.644,8.897,0,4760.8135,51.644,8.897,0,2.222848,3865.906373436879,0.0,0.0,2500.0,2706.1344614058153,0.0,2237794.317020716
,0.8902912020873707,890.2912020873707,2023-06-28 23:00:00,51.644,8.897,0,4760.8135,51.644,8.897,0,11.139515,3881.661922912629,0.0,0.0,2500.0,2717.1633460388402,0.0,2240511.480366755
,1.4277295275090636,1427.7295275090637,2023-06-29 00:00:00,51.644,8.897,0,4760.8135,51.644,8.897,0,13.188636,3346.2724256159363,0.0,0.0,2500.0,2342.390697931155,0.0,2242853.8710646858
,1.7913684213610868,1791.3684213610868,2023-06-29 01:00:00,51.644,8.897,0,0.0,51.644,8.897,0,14.117159,-1777.2512624713163,0.0,1777.2512624713163,722.7487375286837,0.0,0.0,2242853.8710646858
,1.774883606434533,1774.883606434533,2023-06-29 02:00:00,51.644,8.897,0,0.0,51.644,8.897,0,14.478044,-1760.4055628783196,0.0,722.7487375286837,0.0,0.0,1729.4280422493932,2241124.4430224365
,1.761873668178838,1761.8736681788382,2023-06-29 03:00:00,51.644,8.897,0,0.0,51.644,8.897,0,15.652376,-1746.2212920039117,0.0,0.0,0.0,0.0,2910.3688200065194,2238214.07420243
,1.794287317764608,1794.287317764608,2023-06-29 04:00:00,51.644,8.897,0,2.194649,51.644,8.897,0,15.348367,-1776.7443013308923,0.0,0.0,0.0,0.0,2961.240502218154,2235252.8337002117
,1.7803600120678065,1780.3600120678063,2023-06-29 05:00:00,51.644,8.897,0,20.102457,51.644,8.897,0,13.399929,-1746.857624067318,0.0,0.0,0.0,0.0,2911.42937344553,2232341.4043267663
,1.044937113447267,1044.937113447267,2023-06-29 06:00:00,51.644,8.897,0,65.15826,51.644,8.897,0,9.363985,-970.4148737622083,0.0,0.0,0.0,0.0,1617.358122937014,2230724.0462038293
,0.9314337418703378,931.4337418703378,2023-06-29 07:00:00,51.644,8.897,0,380.80533,51.644,8.897,0,12.295213,-538.333186450416,0.0,0.0,0.0,0.0,897.22197741736,2229826.824226412
,0.5784696691511926,578.4696691511925,2023-06-29 08:00:00,51.644,8.897,0,739.23846,51.644,8.897,0,17.410109,178.17889041911997,178.17889041911997,0.0,178.17889041911997,0.0,0.0,2229826.824226412
,0.8048092359842463,804.8092359842462,2023-06-29 09:00:00,51.644,8.897,0,1188.5092,51.644,8.897,0,38.926826,422.62679917200376,422.62679917200376,0.0,600.8056895911237,0.0,0.0,2229826.824226412
,1.014858580984314,1014.858580984314,2023-06-29 10:00:00,51.644,8.897,0,1650.3625,51.644,8.897,0,66.36976,701.8737188203735,701.8737188203735,0.0,1302.6794084114972,0.0,0.0,2229826.824226412
,1.0059350976935488,1005.9350976935488,2023-06-29 11:00:00,51.644,8.897,0,1970.9658,51.644,8.897,0,56.808643,1021.8393163689512,1021.8393163689512,0.0,2324.5187247804483,0.0,0.0,2229826.824226412
,1.0176940803477348,1017.6940803477348,2023-06-29 12:00:00,51.644,8.897,0,2400.6353,51.644,8.897,0,79.45544,1462.3964958241402,175.48127521955166,0.0,2500.0,900.8406544232118,0.0,2230727.664880835
,1.028535695560814,1028.535695560814,2023-06-29 13:00:00,51.644,8.897,0,2757.7046,51.644,8.897,0,69.119194,1798.288034907936,0.0,0.0,2500.0,1258.8016244355551,0.0,2231986.4665052705
,1.0369865956243425,1036.9865956243425,2023-06-29 14:00:00,51.644,8.897,0,3013.5854,51.644,8.897,0,34.721695,2011.3205332819075,0.0,0.0,2500.0,1407.9243732973353,0.0,2233394.390878568
,1.2702759157991133,1270.2759157991134,2023-06-29 15:00:00,51.644,8.897,0,3370.4783,51.644,8.897,0,28.159676,2128.362023654012,0.0,0.0,2500.0,1489.8534165578083,0.0,2234884.244295126
,1.4676489107038884,1467.6489107038883,2023-06-29 16:00:00,51.644,8.897,0,3559.139,51.644,8.897,0,22.027355,2113.5173490617367,0.0,0.0,2500.0,1479.4621443432156,0.0,2236363.706439469
,1.7880325397570629,1788.0325397570623,2023-06-29 17:00:00,51.644,8.897,0,3683.482,51.644,8.897,0,11.320841,1906.7701946179372,0.0,0.0,2500.0,1334.739136232556,0.0,2237698.4455757015
,1.018277859628439,1018.277859628439,2023-06-29 18:00:00,51.644,8.897,0,3742.295,51.644,8.897,0,6.0120587,2730.029025137186,0.0,0.0,2500.0,1911.0203175960303,0.0,2239609.4658932975
,0.9052470712787464,905.2470712787464,2023-06-29 19:00:00,51.644,8.897,0,3785.0798,51.644,8.897,0,6.246286,2886.0791005962537,0.0,0.0,2500.0,2020.2553704173774,0.0,2241629.721263715
,0.9003822439395445,900.3822439395445,2023-06-29 20:00:00,51.644,8.897,0,3792.4468,51.644,8.897,0,31.016844,2923.0813791073306,0.0,0.0,2500.0,2046.1569653751312,0.0,2243675.87822909
,0.9063312328000545,906.3312328000544,2023-06-29 21:00:00,51.644,8.897,0,3792.4468,51.644,8.897,0,74.72554,2960.841130481196,0.0,0.0,2500.0,2072.5887913368374,0.0,2245748.467020427
,0.9136701723289082,913.6701723289082,2023-06-29 22:00:00,51.644,8.897,0,3792.4468,51.644,8.897,0,61.66117,2940.437737827342,0.0,0.0,2500.0,2058.3064164791394,0.0,2247806.773436906
,0.8770310727113737,877.0310727113738,2023-06-29 23:00:00,51.644,8.897,0,3792.446,51.644,8.897,0,65.53525,2980.950128460501,0.0,0.0,2500.0,2086.665089922351,0.0,2249893.4385268283
,1.188213228340114,1188.2132283401138,2023-06-30 00:00:00,51.644,8.897,0,3792.446,51.644,8.897,0,54.32471,2658.557523613011,0.0,0.0,2500.0,1860.9902665291077,0.0,2251754.428793357
,1.3972618088589748,1397.2618088589747,2023-06-30 01:00:00,51.644,8.897,0,0.0,51.644,8.897,0,43.01516,-1354.2466492520412,0.0,1354.2466492520412,1145.7533507479588,0.0,0.0,2251754.428793357
,1.5416220852731288,1541.622085273129,2023-06-30 02:00:00,51.644,8.897,0,0.0,51.644,8.897,0,38.729984,-1502.8921009896817,0.0,1145.7533507479588,0.0,0.0,595.2312504028714,2251159.1975429542
,1.7296824107000028,1729.6824107000027,2023-06-30 03:00:00,51.644,8.897,0,0.0,51.644,8.897,0,69.67184,-1660.0105738469754,0.0,0.0,0.0,0.0,2766.684289744959,2248392.513253209
,1.7196469668745629,1719.6469668745628,2023-06-30 04:00:00,51.644,8.897,0,1.297337,51.644,8.897,0,96.36092,-1621.9887027144066,0.0,0.0,0.0,0.0,2703.314504524011,2245689.198748685
,1.6851205922729109,1685.1205922729107,2023-06-30 05:00:00,51.644,8.897,0,9.081215,51.644,8.897,0,105.713486,-1570.325891650352,0.0,0.0,0.0,0.0,2617.2098194172536,2243071.9889292675
,1.7098339151560578,1709.833915156058,2023-06-30 06:00:00,51.644,8.897,0,38.205452,51.644,8.897,0,72.50286,-1599.1256021677766,0.0,0.0,0.0,0.0,2665.2093369462946,2240406.7795923213
,1.728737244245529,1728.7372442455294,2023-06-30 07:00:00,51.644,8.897,0,98.055916,51.644,8.897,0,71.15236,-1559.5289617748265,0.0,0.0,0.0,0.0,2599.2149362913774,2237807.56465603
,1.7196747658879297,1719.6747658879297,2023-06-30 08:00:00,51.644,8.897,0,345.7938,51.644,8.897,0,209.02864,-1164.852317157461,0.0,0.0,0.0,0.0,1941.4205285957682,2235866.144127434
,1.7239558139464275,1723.9558139464275,2023-06-30 09:00:00,51.644,8.897,0,692.5155,51.644,8.897,0,265.9432,-765.4970737120527,0.0,0.0,0.0,0.0,1275.8284561867547,2234590.3156712474
,1.7265967202162806,1726.5967202162806,2023-06-30 10:00:00,51.644,8.897,0,1188.1218,51.644,8.897,0,263.92752,-274.5474038100306,0.0,0.0,0.0,0.0,457.579006350051,2234132.7366648973
