Unnamed: 0,[MW],Demand_kWh,valid_time,latitude_x,longitude_x,number_x,PV_Generation_kWh,latitude_y,longitude_y,number_y,Wind_Generation_kWh,Net_Balance_kWh,Battery_Charge_kWh,Battery_Discharge_kWh,Battery_Level_kWh
,1.8134408379743816,1813.4408379743816,2023-06-15 18:00:00,51.644,8.897,0,7688.7812,51.644,8.897,0,75.961044,5951.301349525618,0.0,0.0,50000.0
,0.826186677263369,826.186677263369,2023-06-15 19:00:00,51.644,8.897,0,7781.853,51.644,8.897,0,67.044556,7022.710783674131,0.0,0.0,50000.0
,0.6072972460126366,607.2972460126366,2023-06-15 20:00:00,51.644,8.897,0,7792.4272,51.644,8.897,0,49.51157,7234.641718831113,0.0,0.0,50000.0
,0.6149697737018927,614.9697737018926,2023-06-15 21:00:00,51.644,8.897,0,7792.4272,51.644,8.897,0,44.53929,7221.996534891858,0.0,0.0,50000.0
,0.6021544285397658,602.1544285397657,2023-06-15 22:00:00,51.644,8.897,0,7792.4272,51.644,8.897,0,51.548126,7241.821157397734,0.0,0.0,50000.0
,0.7681145383399781,768.114538339978,2023-06-15 23:00:00,51.644,8.897,0,7792.4272,51.644,8.897,0,57.51248,7081.825403066272,0.0,0.0,50000.0
,1.4390993239761132,1439.0993239761133,2023-06-16 00:00:00,51.644,8.897,0,7792.4272,51.644,8.897,0,52.087917,6405.415812742636,0.0,0.0,50000.0
,1.8288692903929944,1828.8692903929943,2023-06-16 01:00:00,51.644,8.897,0,0.0,51.644,8.897,0,43.24511,-1785.6241808348889,0.0,1785.6241808348889,48214.375819165114
,1.8152755728565948,1815.2755728565949,2023-06-16 02:00:00,51.644,8.897,0,0.0,51.644,8.897,0,39.230392,-1776.0451804005402,0.0,1776.0451804005402,46438.33063876457
,1.812273279412973,1812.273279412973,2023-06-16 03:00:00,51.644,8.897,0,0.0,51.644,8.897,0,35.652107,-1776.6211721742034,0.0,1776.6211721742034,44661.70946659037
,1.8284523051924908,1828.4523051924907,2023-06-16 04:00:00,51.644,8.897,0,18.368418,51.644,8.897,0,31.917717,-1778.1661723799907,0.0,1778.1661723799907,42883.54329421038
,1.821863939024543,1821.863939024543,2023-06-16 05:00:00,51.644,8.897,0,127.32122,51.644,8.897,0,10.346971,-1684.195741392707,0.0,1684.195741392707,41199.34755281767
,0.7880186319106569,788.018631910657,2023-06-16 06:00:00,51.644,8.897,0,378.6747,51.644,8.897,0,13.701439,-395.6424722426882,0.0,395.6424722426882,40803.70508057498
,0.5109458656830661,510.9458656830661,2023-06-16 07:00:00,51.644,8.897,0,726.93634,51.644,8.897,0,28.16502,244.15551371146512,244.15551371146512,0.0,41047.860594286445
,0.6826881702635874,682.6881702635874,2023-06-16 08:00:00,51.644,8.897,0,1279.0216,51.644,8.897,0,45.343708,641.6771861817251,641.6771861817251,0.0,41689.53778046817
,0.7388421772646643,738.8421772646643,2023-06-16 09:00:00,51.644,8.897,0,1889.3577,51.644,8.897,0,123.131294,1273.646836407211,1273.646836407211,0.0,42963.184616875384
